Party ID 1:,Party ID 2:,Party ID:,Total Number Of Works:,Member Name:,Work Title,ASCAP Work ID,Interested Parties,IPI Number,Interested Party Status,Role,Society,Own%,Collect%,Registration Date,Registration Status,Surveyed Work,ISWC Number,Work Licenced By ASCAP,Share Licenced By ASCAP
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","PRESENTE",929687335,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,16.67%,04/09/2025,"Accepted","Y","T3318182406","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","PRESENTE",929687335,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,16.67%,04/09/2025,"Accepted","Y","T3318182406","Y","N"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","PRESENTE",929687335,"MUSIC OF AFINARTE",817094629,"Identified Authoritative","E","SESAC",16.66%,16.66%,04/09/2025,"Accepted","Y","T3318182406","Y","N"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","PRESUMIENDO NUEVO AMOR",896470691,"ALVAREZ, ANTONIO",831561745,"Identified Authoritative","CA","ASCAP",50.00%,50.00%,02/07/2019,"Accepted","Y","T9274908133","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","PRESUMIENDO NUEVO AMOR",896470691,"MELODIES OF AFINARTE",807953316,"Identified Authoritative","E","ASCAP",50.00%,0.00%,02/07/2019,"Accepted","Y","T9274908133","Y",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","PRESUMIENDO NUEVO AMOR",896470691,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,50.00%,02/07/2019,"Accepted","Y","T9274908133","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","PRINCIPIOS Y CRIANZA",934380663,"BUSTOS HURTADO, ALEMI",1067193059,"Identified Authoritative","CA","ASCAP",50.00%,50.00%,02/06/2026,"Accepted","N","T3388911880","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","PRINCIPIOS Y CRIANZA",934380663,"MELODIES OF AFINARTE",807953316,"Identified Authoritative","E","ASCAP",50.00%,0.00%,02/06/2026,"Accepted","N","T3388911880","Y",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","PRINCIPIOS Y CRIANZA",934380663,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,50.00%,02/06/2026,"Accepted","N","T3388911880","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","PRODUCTO MICHOACANO",912145072,"BUSTOS HURTADO, ALEMI",1067193059,"Identified Authoritative","CA","ASCAP",50.00%,50.00%,06/22/2021,"Accepted","Y","T3054070650","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","PRODUCTO MICHOACANO",912145072,"MELODIES OF AFINARTE",807953316,"Identified Authoritative","E","ASCAP",50.00%,0.00%,06/22/2021,"Accepted","Y","T3054070650","Y",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","PRODUCTO MICHOACANO",912145072,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,50.00%,06/22/2021,"Accepted","Y","T3054070650","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","PURA ADRENALINA",923490501,"ZAPATA, ORLANDO",1051027316,"Identified Authoritative","CA","ASCAP",25.00%,25.00%,02/13/2024,"Accepted","Y","T3236655628","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","PURA ADRENALINA",923490501,"ZAPATA, ROLANDO",1051026907,"Identified Authoritative","CA","ASCAP",25.00%,25.00%,02/13/2024,"Accepted","Y","T3236655628","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","PURA ADRENALINA",923490501,"MELODIES OF AFINARTE",807953316,"Identified Authoritative","E","ASCAP",50.00%,0.00%,02/13/2024,"Accepted","Y","T3236655628","Y",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","PURA ADRENALINA",923490501,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,50.00%,02/13/2024,"Accepted","Y","T3236655628","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUE BONITA CHAPARRITA",927696698,"SANCHEZ MEDRANO, JOSE GUADALUPE",835985390,"Identified Authoritative","CA","ASCAP",50.00%,50.00%,11/14/2024,"Accepted","Y","T3289739959","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUE BONITA CHAPARRITA",927696698,"MELODIES OF AFINARTE",807953316,"Identified Authoritative","E","ASCAP",50.00%,0.00%,11/14/2024,"Accepted","Y","T3289739959","Y",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUE BONITA CHAPARRITA",927696698,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,50.00%,11/14/2024,"Accepted","Y","T3289739959","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUE IRONIA",929824118,"BUSTOS HURTADO, ALEMI",1067193059,"Identified Authoritative","CA","ASCAP",50.00%,50.00%,04/24/2025,"Accepted","Y","T3319895228","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUE IRONIA",929824118,"MELODIES OF AFINARTE",807953316,"Identified Authoritative","E","ASCAP",50.00%,0.00%,04/24/2025,"Accepted","Y","T3319895228","Y",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUE IRONIA",929824118,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,50.00%,04/24/2025,"Accepted","Y","T3319895228","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUE NO QUEPA DUDA",928433921,"SAUCEDA GASTELUM, ANGEL RENE",1049176354,"Identified Authoritative","CA","ASCAP",50.00%,50.00%,01/28/2025,"Accepted","Y","T3302871912","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUE NO QUEPA DUDA",928433921,"MELODIES OF AFINARTE",807953316,"Identified Authoritative","E","ASCAP",50.00%,0.00%,01/28/2025,"Accepted","Y","T3302871912","Y",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUE NO QUEPA DUDA",928433921,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,50.00%,01/28/2025,"Accepted","Y","T3302871912","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUE SI ME GUSTAS",909386277,"GONZALEZ LOPEZ, ANGEL ALBERTO",1060434891,"Identified Authoritative","CA","ASCAP",50.00%,50.00%,10/05/2020,"Accepted","Y","T3016176339","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUE SI ME GUSTAS",909386277,"MELODIES OF AFINARTE",807953316,"Identified Authoritative","E","ASCAP",50.00%,0.00%,10/05/2020,"Accepted","Y","T3016176339","Y",
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUE SI ME GUSTAS",909386277,"MELODIES OF RIGOLETTO MUSIC PUBLISHING",1036461187,"Identified Authoritative","AM","ASCAP",0.00%,50.00%,10/05/2020,"Accepted","Y","T3016176339","Y","Y"
5948691,,5948691,769,"MELODIES OF RIGOLETTO MUSIC PUBLISHING","QUE TANTO ES TANTITO",909187889,"PEREZ RODRIGUEZ, OFELIA ALEJANDRA",725123668,"Identified Authoritative","CA","SACM",25.00%,25.00%,09/17/2020,"Accepted","Y","T3010937103","Y","Y"
