Song #,Song Title,Reg. Date,ISWC #,Affiliate #,Name,Pro,Publisher/Writer,Share %
717270684,CORAZÓN YA NO TENGO,08/10/2022,T3122086124,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
996513,CORRIDO DEL CACARO,02/17/2015,T3060431876,456692,ERIK LOPEZ,UNKNOWN,W,50.000000
996513,CORRIDO DEL CACARO,02/17/2015,T3060431876,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
996514,CORRIDO DEL PEKE,02/17/2015,T3060431810,456692,ERIK LOPEZ,UNKNOWN,W,50.000000
996514,CORRIDO DEL PEKE,02/17/2015,T3060431810,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
996512,CORRIDO DE ROBERTILLO FONSECA,02/17/2015,T3060431785,456692,ERIK LOPEZ,UNKNOWN,W,50.000000
996512,CORRIDO DE ROBERTILLO FONSECA,02/17/2015,T3060431785,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
720811353,CORRIDO DE RUDY,12/23/2022,T3167799006,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
720811353,CORRIDO DE RUDY,12/23/2022,T3167799006,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
695195027,DE BOTA Y SOMBRERO,06/06/2019,T3074946393,451248,EDUARDO GURROLA MARTINES,SESAC,W,25.000000
695195027,DE BOTA Y SOMBRERO,06/06/2019,T3074946393,4573347,JUAN CARLOS BRACAMONTES RODRIGUEZ,UNKNOWN,W,25.000000
