Song #,Song Title,Reg. Date,ISWC #,Affiliate #,Name,Pro,Publisher/Writer,Share %
695195028,LUPE CAMPOS FEAT. LOS 2 CARNALES,06/06/2019,T3109225067,451248,EDUARDO GURROLA MARTINES,SESAC,W,50.000000
695195028,LUPE CAMPOS FEAT. LOS 2 CARNALES,06/06/2019,T3109225067,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
720811358,MAGALLON MI APELLIDO,12/23/2022,T3167798741,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
720824663,MAGALLON MI APELLIDO,12/23/2022,T3167798741,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
720824663,MAGALLON MI APELLIDO,12/23/2022,T3167798741,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
720811358,MAGALLON MI APELLIDO,12/23/2022,T3167798741,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
722690596,MAQUINA DEL TIEMPO,03/17/2023,T3168351386,475722,RICARDO RAMIREZ MIRANDA,SESAC,W,50.000000
722690596,MAQUINA DEL TIEMPO,03/17/2023,T3168351386,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
720824661,MARCA S,12/23/2022,T3167798707,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
720811356,MARCA S,12/23/2022,T3167798707,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
720824661,MARCA S,12/23/2022,T3167798707,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
720811356,MARCA S,12/23/2022,T3167798707,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
759211601,MARTINEZ,11/12/2025,,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
759211601,MARTINEZ,11/12/2025,,967179,OSCAR MANUEL AVILEZ FLORES,SESAC,W,50.000000
700647654,ME PARECE UN CUENTO,11/01/2020,T3174421724,4517420,RUBEN SALAZAR ASTORGA,BMI,W,50.000000
700647654,ME PARECE UN CUENTO,11/01/2020,T3174421724,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
59085364,MI AGONIA,04/10/2019,T3108635918,475722,RICARDO RAMIREZ MIRANDA,SESAC,W,50.000000
59085364,MI AGONIA,04/10/2019,T3108635918,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
55659545,MI CALENDARIO,07/05/2017,T3065597760,475722,RICARDO RAMIREZ MIRANDA,SESAC,W,50.000000
55659545,MI CALENDARIO,07/05/2017,T3065597760,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
59085363,MI ROMPECABEZAS,04/10/2019,T3108635805,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
59085363,MI ROMPECABEZAS,04/10/2019,T3108635805,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
1066678,MI VENADITA,11/03/2015,T3061267532,475722,RICARDO RAMIREZ MIRANDA,SESAC,W,50.000000
1066678,MI VENADITA,11/03/2015,T3061267532,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
727968570,MODO MAFIA,10/28/2023,T3293316419,451248,EDUARDO GURROLA MARTINES,SESAC,W,50.000000
727968570,MODO MAFIA,10/28/2023,T3293316419,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
60779447,NI PARA BIEN NI PARA MAL,01/29/2020,T3091919556,4517420,RUBEN SALAZAR ASTORGA,BMI,W,50.000000
60779447,NI PARA BIEN NI PARA MAL,01/29/2020,T3091919556,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
60779453,NO LE FALTA NADA,01/29/2020,T3091919216,4517420,RUBEN SALAZAR ASTORGA,BMI,W,50.000000
60779453,NO LE FALTA NADA,01/29/2020,T3091919216,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
722690595,NOMAS PENSANDO EN TI,03/17/2023,T3168351397,475722,RICARDO RAMIREZ MIRANDA,SESAC,W,50.000000
722690595,NOMAS PENSANDO EN TI,03/17/2023,T3168351397,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
694675968,NO PUEDO MAS,04/19/2019,T3109026606,475722,RICARDO RAMIREZ MIRANDA,SESAC,W,50.000000
694675968,NO PUEDO MAS,04/19/2019,T3109026606,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
731347765,NOS UBICAMOS,04/03/2024,,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
731347765,NOS UBICAMOS,04/03/2024,,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
727968594,OTRO FRACASO MAS,10/28/2023,T3218311736,3182338,MELODIES OF AFINARTE,ASCAP,P,25.000000
727968594,OTRO FRACASO MAS,10/28/2023,T3218311736,451248,EDUARDO GURROLA MARTINES,SESAC,W,25.000000
727968594,OTRO FRACASO MAS,10/28/2023,T3218311736,494884,MUSIC OF AFINARTE,SESAC,P,25.000000
727968594,OTRO FRACASO MAS,10/28/2023,T3218311736,6033484,ANTONIO DE JESUS RAMIREZ LOPEZ,ASCAP,W,25.000000
55036816,PA' DONDE APUNTA EL HUARACHE,03/09/2017,T3063011627,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
55036816,PA' DONDE APUNTA EL HUARACHE,03/09/2017,T3063011627,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
699095153,PARA OLVIDARTE SIN DOLOR,09/03/2020,T3094785527,4517420,RUBEN SALAZAR ASTORGA,BMI,W,50.000000
699095153,PARA OLVIDARTE SIN DOLOR,09/03/2020,T3094785527,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
1066679,PEPON LOCUAZ,11/03/2015,T3061193037,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
1066679,PEPON LOCUAZ,11/03/2015,T3061193037,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
700033788,PIENSALO,10/01/2020,T3130539123,456690,NESTOR SAGID OLEA MENESES,SESAC,W,25.000000
700033788,PIENSALO,10/01/2020,T3130539123,4569944,NESTOR ADALID OLEA MONTES,SESAC,W,25.000000
700033788,PIENSALO,10/01/2020,T3130539123,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
699222178,POR MANUELITO,09/14/2020,T9286711419,451248,EDUARDO GURROLA MARTINES,SESAC,W,50.000000
699222178,POR MANUELITO,09/14/2020,T9286711419,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
59025292,PORQUE ME ARROJASTE,02/01/2019,T3107850108,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
59025292,PORQUE ME ARROJASTE,02/01/2019,T3107850108,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
723690803,PURAS FALLAS,07/13/2023,T3231072105,419972,LUCIANO LUNA DIAZ,SESAC,W,25.000000
723690803,PURAS FALLAS,07/13/2023,T3231072105,480575,JESUS ANTONIO INZUNZA MONTOYA,SESAC,W,25.000000
723690803,PURAS FALLAS,07/13/2023,T3231072105,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
700045399,QUE TAL SI VOLVEMOS,10/01/2020,T3215242192,4519319,SONGS OF AFINARTE,BMI,P,25.000000
700045399,QUE TAL SI VOLVEMOS,10/01/2020,T3215242192,455790,RENE HUMBERTO LAU IBARRA,SESAC,W,25.000000
700045399,QUE TAL SI VOLVEMOS,10/01/2020,T3215242192,4932721,GIOVANNI AYALA,BMI,W,25.000000
700045399,QUE TAL SI VOLVEMOS,10/01/2020,T3215242192,494884,MUSIC OF AFINARTE,SESAC,P,25.000000
732615916,QUE TANTO SERÁ TANTITO,05/20/2024,T3366669985,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
732615916,QUE TANTO SERÁ TANTITO,05/20/2024,T3366669985,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
759211599,QUE VAN A SABER,11/12/2025,,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
759211599,QUE VAN A SABER,11/12/2025,,967179,OSCAR MANUEL AVILEZ FLORES,SESAC,W,50.000000
758097657,QUIEN ME MANDA,11/06/2025,,430749,JUAN DIEGO SANDOVAL-MACIAS,SESAC,W,16.670000
758097657,QUIEN ME MANDA,11/06/2025,,4519319,SONGS OF AFINARTE,BMI,P,33.330000
758097657,QUIEN ME MANDA,11/06/2025,,494884,MUSIC OF AFINARTE,SESAC,P,16.670000
758097657,QUIEN ME MANDA,11/06/2025,,6147049,AGUSTIN CEJUDO MORENO,SACM,W,16.670000
758097657,QUIEN ME MANDA,11/06/2025,,8383821,IRENE DEL ROSARIO ZUNIGA IBARRA,UNKNOWN,W,16.660000
744149954,QUIERO PISTEARME UN WHISKITO,01/06/2025,,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
744149954,QUIERO PISTEARME UN WHISKITO,01/06/2025,,494884,MUSIC OF AFINARTE,SESAC,P,50.000000
716665076,ROBERTO LUNA SALDIVAR,06/17/2022,T3121466482,475718,ROBERTO RAMIREZ MIRANDA,BMI,W,50.000000
