Mri ID,Song Title,Publisher(s),Composer(s),US Share,Revised Share,Not Our Song,Last Updated
901463809,COMANDO DE GUERREROS,MELODIES OF AFINARTE,"GARCIA, ALEXANDER/GUZMAN, JUAN LUIS",100.00%,,false,
877108158,BENITO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
888614420,"PECHUGO, EL",SONGS OF AFINARTE,"MENDIVIL, SANABIA WILFRIDO",100.00%,,false,
897293373,"DE LAS BOTAS BLANCAS, EL",,"SANCHEZ MEDRANO, JOSE GUADALUPE",100.00%,,false,
897302675,ENORME DOLOR,MELODIES OF AFINARTE,"ORDONEZ MONTENEGRO, JESUS ALBERT",100.00%,,false,
887178096,UNA VIDA CORTA,SONGS OF AFINARTE,"GONZALEZ, VIANCA L",100.00%,,false,
891416750,EL PRIMERO SERE YO,MUSIC OF AFINARTE,"LOPEZ, ERIK",100.00%,,false,
905380321,MUCHOS PRESUMEN,MELODIES OF AFINARTE,"SANCHEZ MEDRANO, JOSE GUADALUPE",100.00%,,false,
891303142,TORO DE BADIRAGUATO,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
891360750,LEON DE MELENA,MELODIES OF AFINARTE,"AVITA AUDELO, JULIO CESAR",100.00%,,false,
885384448,"AGUACATE, EL",MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
891360747,EL REY LEON,MELODIES OF AFINARTE,"AVITA AUDELO, JULIO CESAR",100.00%,,false,
878403920,JESUS ALBINO,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
902211215,SOY BELTRAN,SONGS OF AFINARTE,"MURILLO, CARLOS PERALTA",100.00%,,false,
901463885,YA NO ME IMPORTA,MELODIES OF AFINARTE,"RIOS ECHEVERRIA, ADRIANA ISABEL",100.00%,,false,
897302496,JR POR MI PADRE,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
901659778,EL SEÑOR DE LOS CIELOS,SONGS OF AFINARTE,"RAMIREZ, MALDONADO JUAN",100.00%,,false,
901463819,"BELICO, EL",MELODIES OF AFINARTE,"AVITA AUDELO, JULIO CESAR",100.00%,,false,
909556268,"CAPI, EL",SONGS OF AFINARTE,"COBIAN CARO, RAFAEL",100.00%,,false,
901349787,LAS BENDICIONES,SONGS OF AFINARTE,"QUEZADA MANCHA, ALFONSO DE JESUS/QUEZADA MANCHA, IMANOL",100.00%,,false,
891304373,30 DE ENERO,SONGS OF AFINARTE,"QUEZADA MANCHA, IMANOL",100.00%,,false,
878847368,CASITAS DE COJOYO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
901463836,"TATUADO, EL",SONGS OF AFINARTE,"QUEZADA, IMANOL",100.00%,,false,
891367475,EL JOVEN ARTISTA,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
895179681,LA PROMESA CUMPLIDA,MELODIES OF AFINARTE,"ZAPATA, ORLANDO",100.00%,,false,
880026328,EL DE PIEDRAS BLANCAS,MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
884474114,PINAS DE HAWAII,SONGS OF AFINARTE,KANALES,100.00%,,false,
897293178,"JUICIO DEL CHAPO, EL",MELODIES OF AFINARTE,"LEON MEZA, SERGIO BLADIMIR",100.00%,,false,
885384460,MI ALMA ROTA,MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
886299295,NO PUEDO MAS,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
888614403,SI APUESTAS,SONGS OF AFINARTE,"GONZALEZ, VIANCA L",100.00%,,false,
891360751,SIEMPRE FUISTE TU,MELODIES OF AFINARTE,"AVITA AUDELO, JULIO CESAR",100.00%,,false,
897293177,"DOBLE R, EL",MELODIES OF AFINARTE,"LEON MEZA, SERGIO BLADIMIR",100.00%,,false,
897302428,"FINAL DE NUESTRO CUENTO, EL",MELODIES OF AFINARTE,"SAUCEDA GASTELUM, ANGEL RENE",100.00%,,false,
895179711,PIERDES Y GANAS,SONGS OF AFINARTE,"GARCIA, RODOLFO",100.00%,,false,
901463840,EN FIN,SONGS OF AFINARTE,"QUEZADA MANCHA, ALFONSO DE JESUS/QUEZADA, IMANOL",100.00%,,false,
891355076,HIMNO DE GUERRA,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
878445473,"RENCILLAS, LAS",MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
891360736,LA VIDA BONITA,MELODIES OF AFINARTE,"QUEZADA MANCHA, ALFONSO DE JESUS",100.00%,,false,
876839776,"ADIVINANZA, LA",SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
889748981,"JAMAICO, EL",MELODIES OF AFINARTE,"QUEZADA MANCHA, ALFONSO DE JESUS",100.00%,,false,
901463870,NECESITO,SONGS OF AFINARTE,"QUEZADA, IMANOL",100.00%,,false,
897302838,"NINA DE MIS OJOS, LA",MELODIES OF AFINARTE,"ARREDONDO ZAMORA, DE JESUS ELEAZAR",100.00%,,false,
901733024,PINOCHO,SONGS OF AFINARTE,"CALDERON, OSCAR/RIOS ECHEVERRIA, ADRIANA ISABEL/VEGAS ROMERO, JUAN MANUEL",100.00%,,false,
891367469,EL DE LOS FLETES,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
899644170,"COMPA BRUNO, EL",MELODIES OF AFINARTE,"ZAPATA, ORLANDO",100.00%,,false,
891367466,EL BULLET,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
877101805,EL BRAVO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
877600723,TANTO TIENES TANTO VALES,MELODIES OF AFINARTE,"VALE CORRALES, JOSE ISIDRO",100.00%,,false,
891355080,LA RAMADA,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
897293182,"DOS FRANCISCOS, LOS",MELODIES OF AFINARTE,"LEON MEZA, SERGIO BLADIMIR",100.00%,,false,
891367488,LAS ASTILLAS,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
884661559,BRINDEMOS,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
901660161,EL ARMADILLO,MELODIES OF AFINARTE,"ZAPATA, ORLANDO/ZAPATA, ROLANDO",100.00%,,false,
885299811,"SERIECITO, EL",MELODIES OF AFINARTE,"DIAZ DE LEON HUEZ, OSCAR ARMANDO",100.00%,,false,
887303010,RULETEANDO EL MEZCAL,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
897293369,"BORREGO, EL",MELODIES OF AFINARTE,"ORDONEZ MONTENEGRO, JESUS ALBERT",100.00%,,false,
891303139,PILOTO DE DURANGO,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
886051938,EL CORRIDO DE ALFREDO,SONGS OF AFINARTE,"RAMOS GAXIOLA, JAIRO DE JESUS",100.00%,,false,
891303130,EL RANCHERO Y EL GUACHITO,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
895179642,LITTLE GUY,MELODIES OF AFINARTE,"ONTIVEROS GASTELUM, JOSE ANGEL",100.00%,,false,
901390310,"RENGLON, EL",SONGS OF AFINARTE,"COBIAN CARO, RAFAEL",100.00%,,false,
891367492,MI ROMPECABEZAS,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
886289783,AMOR IMPOSIBLE,MELODIES OF AFINARTE,"ALVAREZ, ANTONIO",100.00%,,false,
899598719,"CORRIDO DE BARRERA, EL",MELODIES OF AFINARTE,"SANCHEZ MEDRANO, JOSE GUADALUPE",100.00%,,false,
901463815,"ABUELO, EL",SONGS OF AFINARTE,"QUEZADA, IMANOL",100.00%,,false,
901733192,"TEMPLARIO, EL",SONGS OF AFINARTE,"DAVILA, ISIDRO",100.00%,,false,
886040216,ENCANTADORA,MELODIES OF AFINARTE,"LIMON, PERLA ELENES",100.00%,,false,
886899017,RICARDO LOPEZ,MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
891355079,LA FOGATA (FEAT. CACHORRO DELGADO),SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
902211222,ALTOS Y BAJOS,MELODIES OF AFINARTE,"ARREDONDO ZAMORA, ELEAZAR DE JESUS/BERMUDEZ FEBUS, JEAN",100.00%,,false,
878507947,"CUERVOS, LOS",SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
904412729,EL SCAR,SONGS OF AFINARTE,"REYES, FERNANDO VALENZUELA",100.00%,,false,
891360841,EL ILEGAL,MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
891367478,EL MOMENTO,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
886299290,"INDIO, EL",MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
876841394,CARTA DE RETIRO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
891360836,EL CONSENTIDO,MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
901733050,SE PUEDE QUERER A DOS,MELODIES OF AFINARTE,"SANCHEZ MEDRANO, JOSE GUADALUPE",100.00%,,false,
877463484,RANCHITOS ESCONDIDOS,MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
901463880,SOY DEL RANCHO DE EL SALADO,SONGS OF AFINARTE,"LOPEZ OCHIQUI, FERNANDO",100.00%,,false,
896935693,VALE LA PENA,MELODIES OF AFINARTE,"ARREDONDO ZAMORA, DE JESUS ELEAZAR",100.00%,,false,
876645436,"GUERO CAMARóN, EL",MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
901390308,"M11, EL",SONGS OF AFINARTE,"COBIAN CARO, RAFAEL",100.00%,,false,
897293172,DERECHO EN LO CHUECO,MELODIES OF AFINARTE,"LEON MEZA, SERGIO BLADIMIR",100.00%,,false,
909556266,SI COMO NO,SONGS OF AFINARTE,"VILCHIS, LUIS MANUEL",100.00%,,false,
901463861,LOS PRIMOS,SONGS OF AFINARTE,"QUEZADA, IMANOL",100.00%,,false,
905380652,SON DE GUERRA,MELODIES OF AFINARTE,"SAUCEDA GASTELUM, ANGEL RENE",100.00%,,false,
901390095,PAL QUE QUIERA INVESTIGAR,SONGS OF AFINARTE,"NICOLAS, GARCIA JR",100.00%,,false,
895179691,VIDA PELIGROSA,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
901463878,SONADOR,MELODIES OF AFINARTE,"ARREDONDO ZAMORA, DE JESUS ELEAZAR",100.00%,,false,
877127520,HOMBRE CABAL,MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
897293364,AHORA TE AGUANTAS,MELODIES OF AFINARTE / MUSIC OF AFINARTE / SONGS OF AFINARTE,"ARREDONDO ZAMORA, DE JESUS ELEAZAR/CORONADO, ROMAN/DAVILA, ISIDRO/FELIX, LUIS ENRIQUE/GUZMAN SANCHEZ, JUAN LUIS/LOPEZ, MACIAS RIGO ELEAZAR/OLEA MONTES, NESTOR ADALID/OLEA-MENESSES, NESTOR SAID/ORDONEZ MONTENEGRO, JESUS ALBERT/SAUCEDA GASTELUM, ANGEL RENE/ZAPATA, ORLANDO",100.00%,,false,
901463801,A ELLA,MELODIES OF AFINARTE,"QUEZADA MANCHA, ALFONSO DE JESUS",100.00%,,false,
895179640,EL TATUADO,MELODIES OF AFINARTE,"ONTIVEROS GASTELUM, JOSE ANGEL",100.00%,,false,
877607434,MANUEL MACHADO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
