Mri ID,Song Title,Publisher(s),Composer(s),US Share,Revised Share,Not Our Song,Last Updated
886536377,CON INTERESES,SONGS OF AFINARTE,"GONZALEZ, VIANCA L",100.00%,,false,
885343738,DOLOR Y AMOR,MELODIES OF AFINARTE,"BAUTISTA SANCHEZ, RAFAEL PABLO",100.00%,,false,
891367468,EL DE LA MIRADA,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
885343785,VICTOR CASTANO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
899644168,"AMIGO DEL PUEBLO, EL",MELODIES OF AFINARTE,"ZAPATA, ORLANDO",100.00%,,false,
904413255,DOLARES DE A 100,SONGS OF AFINARTE,"ALVARADO GALVIN, OSCAR EDUARDO",100.00%,,false,
877773871,EL CHOYA,MELODIES OF AFINARTE,"ORDONEZ MONTENEGRO, JESUS ALBERT",100.00%,,false,
884672997,EL REGALO,MELODIES OF AFINARTE,"RODRIGUEZ MONDRAGON, ANGEL ALEXIS",100.00%,,false,
897293374,"DIRY, EL",MELODIES OF AFINARTE / MUSIC OF AFINARTE / SONGS OF AFINARTE,"FELIX, LUIS ENRIQUE",100.00%,,false,
901463862,LOS SONORENSES,MELODIES OF AFINARTE,"GARCIA, ALEXANDER/LIMON, PERLA ELENES",100.00%,,false,
886299259,EN SONRIENTE,MELODIES OF AFINARTE,"AVITA AUDELO, JULIO CESAR",100.00%,,false,
904412599,LOS CONSEJOS DE LA VIDA,SONGS OF AFINARTE,"RAMIREZ, JUAN MALDONADO",100.00%,,false,
878445739,MI VENADITA,MUSIC OF AFINARTE,"RAMIREZ, RICARDO",100.00%,,false,
891360540,CORRIDO DE OMAR SANTOS,MELODIES OF AFINARTE,"SAUCEDA GASTELUM, ANGEL RENE",100.00%,,false,
891360835,EL COMPA ZERA,MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
894515133,EL NIÑO RESILIENTE,MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
905380355,V.V. 2,SONGS OF AFINARTE,"QUEZADA, IMANOL",100.00%,,false,
891303144,YO SOY JOAQUIN,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
891367470,EL DE LOS PLACERES DE ORO,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
891303137,LOS DOS COMPADRES,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
886289793,BARRERA POR NOMBRE,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
891484070,NACHO CORONEL,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
901390312,KIKIL CARO,SONGS OF AFINARTE,"COBIAN CARO, RAFAEL",100.00%,,false,
901659681,LA SIEMBRA,MELODIES OF AFINARTE,"BUSTOS HURTADO, ALEMI",100.00%,,false,
894515132,EL 21,MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
905380320,MEJORANDO LA COSECHA,MELODIES OF AFINARTE,"SANCHEZ MEDRANO, JOSE GUADALUPE",100.00%,,false,
891367485,HAY MOMENTOS,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
891367472,EL ENIGMA,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
891410449,CHAPULIN,MELODIES OF AFINARTE,"RIOS ECHEVERRIA, ADRIANA ISABEL",100.00%,,false,
891360845,EL MEJOR LUGAR,MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
901733073,"FRESA, EL",MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
895179637,EL GUANTES DE ORO,MELODIES OF AFINARTE,"ONTIVEROS GASTELUM, JOSE ANGEL",100.00%,,false,
897293176,"DEL MERCADITO, EL",MELODIES OF AFINARTE,"LEON MEZA, SERGIO BLADIMIR",100.00%,,false,
884657556,SOY GUERRERO Y MICHOACAN,SONGS OF AFINARTE,KANALES,100.00%,,false,
901733072,"SUCESOR, EL",MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
886299292,"TORO, EL",MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
891418054,EL CORRIDO DEL RUSO,SONGS OF AFINARTE,"ANGULO PEREZ, JESUS OTONIEL",100.00%,,false,
894931027,LOS CIMIENTOS DEL IMPERIO,MUSIC OF AFINARTE,"AVILEZ, DANILO",100.00%,,false,
904413268,EL P8,SONGS OF AFINARTE,"COBIAN CARO, RAFAEL",100.00%,,false,
901463874,PERFECTA,SONGS OF AFINARTE,"QUEZADA, IMANOL",100.00%,,false,
891303136,LA BANDERA,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
891355057,DEL MONTE SOY,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
886290227,"PENGUIN, EL",MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
901659684,CABRON POR OFICIO,SONGS OF AFINARTE,"CERVANTES, ALEXANDER",100.00%,,false,
891303124,EL CORRIDO DE DON CARLOS,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
877096268,FELICIANO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
897293173,DOLOR AL CORAZON,MELODIES OF AFINARTE,"LEON MEZA, SERGIO BLADIMIR",100.00%,,false,
901659946,SOLA,MELODIES OF AFINARTE,"ARREDONDO ZAMORA, DE JESUS ELEAZAR",100.00%,,false,
891304386,LA MORA,SONGS OF AFINARTE,"QUEZADA MANCHA, IMANOL",100.00%,,false,
891355085,SE MARCABAN BIEN MIS PASOS,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
886290218,POR TI ES PURO AMOR,MELODIES OF AFINARTE,"AVITA AUDELO, JULIO CESAR/UNKNOWN",100.00%,,false,
884474116,SERENATA EN MAYO,SONGS OF AFINARTE,"HAROS, VALENTIN/TAPIA CAMACHO, MARIO",100.00%,,false,
885245667,SOY HOMBRE SOY PISTOLERO,MELODIES OF AFINARTE,"AVITA AUDELO, JULIO CESAR",100.00%,,false,
891360749,EL SONRIENTE,MELODIES OF AFINARTE,"AVITA AUDELO, JULIO CESAR",100.00%,,false,
891360550,TU RECUERDO,MELODIES OF AFINARTE,"BARRAGAN, JESUS",100.00%,,false,
886299315,MI VIEJO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
891360848,FRANCO TABAREZ,MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
905380628,ZERO MIEDO,MELODIES OF AFINARTE,"ZAPATA, ORLANDO/ZAPATA, ROLANDO",100.00%,,false,
901463865,ME PARECE UN CUENTO,MELODIES OF AFINARTE,"SALAZAR ASTORGA, RUBEN",100.00%,,false,
891360739,SANGRE DE DURANGO,MELODIES OF AFINARTE,"QUEZADA MANCHA, ALFONSO DE JESUS",100.00%,,false,
891360546,SI ME PIDEN UN PARO,MELODIES OF AFINARTE,"SAUCEDA GASTELUM, ANGEL RENE",100.00%,,false,
886290132,CON DINERO TODO SE COMPRA,MELODIES OF AFINARTE,"BORJA, GERARDO DIAZ/DIAZ DE LEON HUEZ, OSCAR ARMANDO/DIAZ, BORJA GERARDO",100.00%,,false,
901463806,CALDERON ES APODADO,SONGS OF AFINARTE,"GARCIA, NICOLAS",100.00%,,false,
901463877,SOMOS DE DURANGO,MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
887108366,DE BOTA Y SOMBRERO,MUSIC OF AFINARTE,"BRACAMONTES, JUAN CARLOS/GURROLA MARTINES, EDUARDO",100.00%,,false,
901659775,EL COCHITO,SONGS OF AFINARTE,"RAMIREZ, MALDONADO JUAN",100.00%,,false,
901463881,TODO PERDI,MELODIES OF AFINARTE,"QUEZADA MANCHA, ALFONSO DE JESUS/QUEZADA, IMANOL",50.00%,,false,
901463820,"BORRACHO, EL",SONGS OF AFINARTE,"QUEZADA, IMANOL",100.00%,,false,
901463849,"FIESTA, LA",SONGS OF AFINARTE,"QUEZADA, IMANOL",100.00%,,false,
895179708,JESUS ALBINO,MUSIC OF AFINARTE,"RAMIREZ MIRANDA, RICARDO",100.00%,,false,
901659666,LE CALE A QUIEN LE CALE,SONGS OF AFINARTE,"CALDERON, OSCAR/PEREZ RODRIGUEZ, OFELIA ALEJANDRA/RIOS ECHEVERRIA, ADRIANA ISABEL",100.00%,,false,
884473800,EL MELE,SONGS OF AFINARTE,KANALES,100.00%,,false,
901659939,POSITIVO Y PA' DELANTE,MELODIES OF AFINARTE,"SAUCEDA GASTELUM, ANGEL RENE",100.00%,,false,
901733175,SI ME PEGO MANANA,MELODIES OF AFINARTE,"ARREDONDO ZAMORA, DE JESUS ELEAZAR",100.00%,,false,
895179639,EL RAZO,MELODIES OF AFINARTE,"ONTIVEROS GASTELUM, JOSE ANGEL",100.00%,,false,
901463822,"COMPA JESSY, EL",MELODIES OF AFINARTE,"ORDONEZ MONTENEGRO, JESUS ALBERT",100.00%,,false,
905381048,SE TE ACABO TU BABOSO,SONGS OF AFINARTE,"NAVARRO, ALBERTO IBARRA",100.00%,,false,
897293175,"DE CALEXICO, EL",MELODIES OF AFINARTE,"LEON MEZA, SERGIO BLADIMIR",100.00%,,false,
879578416,EL LENGUA SUELTA,MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
891355066,ANTONIO LOPEZ,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
885384457,"CELOS, LOS",MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
886289785,CHAPO MARIN,MELODIES OF AFINARTE,"ALVAREZ, ANTONIO",100.00%,,false,
878442606,MACHACA DE VENADO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
876645453,EQUIPO ARMADO,MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
901463825,"DUBA, EL",SONGS OF AFINARTE,"QUEZADA, IMANOL",100.00%,,false,
878318046,REINA LA FALSEDAD,SONGS OF AFINARTE,"RAMOS GAXIOLA, JAIRO DE JESUS",100.00%,,false,
891303125,EL DE COLIMA,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
891471239,EL GUERO POCHOTE,MUSIC OF AFINARTE,"GURROLA MARTINES, EDUARDO",100.00%,,false,
895179641,JUAN MANUEL,MELODIES OF AFINARTE,"ONTIVEROS GASTELUM, JOSE ANGEL",100.00%,,false,
879320655,DESDE QUE TE VI,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
891367495,PEPON LOCUAZ,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
909556265,ESTE JUEGO,SONGS OF AFINARTE,"AISPURO, MANUEL ALEJANDRO LOPEZ",100.00%,,false,
876645410,"CORRIDO DEL NANO, EL",MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
886290196,CUANDOD ME VAYA,MELODIES OF AFINARTE,"CASTILLO, JOSE BARRAZA",100.00%,,false,
897302886,TANTO TIENES TANTO VALES,MELODIES OF AFINARTE / SONGS OF AFINARTE,"GONZALEZ LOPEZ, ANGEL ALBERTO/SANDOVAL GASTELUM, TEHOJARI",100.00%,,false,
891304384,EL RANCHERO,SONGS OF AFINARTE,"QUEZADA MANCHA, IMANOL",100.00%,,false,
884474096,LEYES DE MI RANCHO,SONGS OF AFINARTE,KANALES,100.00%,,false,
885343782,"TRAMPOLIN, EL",SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
891471248,LOS VALORES,MUSIC OF AFINARTE,"SALAZAR ASTORGA, RUBEN",100.00%,,false,
901660068,EL PASCUAL CARTEL,SONGS OF AFINARTE,"DAVILA, ISIDRO",100.00%,,false,
891360746,EL PROFE,MELODIES OF AFINARTE,"AVITA AUDELO, JULIO CESAR",100.00%,,false,
895179710,ME BAUTIZO LA MAFIA,SONGS OF AFINARTE,"GARCIA, RODOLFO",100.00%,,false,
876645459,LUCIANO DE LAS CANAS,MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
886299287,"CAPITAN, EL",MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
886536387,SOY DE DURANGO,MELODIES OF AFINARTE,"GURROLA-MARTINEZ, EDUARDO",100.00%,,false,
895179678,EL DOBLE M,MELODIES OF AFINARTE,"ZAPATA, ORLANDO",100.00%,,false,
897302676,MUERTO EN VIDA,MELODIES OF AFINARTE,"ORDONEZ MONTENEGRO, JESUS ALBERT",100.00%,,false,
891304379,MEMORIAS DE LA MAFIA,MUSIC OF AFINARTE,"AVILEZ, DANILO",100.00%,,false,
879320680,QUIERO MIRAR,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
897302898,HOME RUN,MELODIES OF AFINARTE,"QUEZADA MANCHA, ALFONSO DE JESUS",100.00%,,false,
884416470,TREMENTINA,SONGS OF AFINARTE,KANALES,100.00%,,false,
901733222,"DORMI, EL",SONGS OF AFINARTE,"COBIAN CARO, RAFAEL",100.00%,,false,
891360548,SOY EL MISMO,MELODIES OF AFINARTE,"SAUCEDA GASTELUM, ANGEL RENE",100.00%,,false,
878442703,EL UNO ES CARO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
901463830,"MAYOR, EL",MELODIES OF AFINARTE,"BUSTOS HURTADO, ALEMI",100.00%,,false,
878484003,VICTORINO LOPEZ,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
901463818,"BATEADOR, EL",SONGS OF AFINARTE,"SOLANO, JOSE",100.00%,,false,
891303133,EL VH,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
901463847,"CHAPIZA, LA",MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
895179682,PA' LLEGAR A SER GRANDE,MELODIES OF AFINARTE,"ZAPATA, ORLANDO",100.00%,,false,
886106598,CORRIDO DE BENITO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
901660167,EL CUATE,SONGS OF AFINARTE,"COBIAN CARO, RAFAEL",100.00%,,false,
901463816,"AZUL, EL",SONGS OF AFINARTE,"QUEZADA, IMANOL",100.00%,,false,
884672996,EL CORRIDO DE LALO,MELODIES OF AFINARTE,"RODRIGUEZ MONDRAGON, ANGEL ALEXIS",100.00%,,false,
904413267,EL LUISON,SONGS OF AFINARTE,"COBIAN CARO, RAFAEL",100.00%,,false,
876645462,ME LLAMO RAFAEL,MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
897302885,SEIS TIROS DE BALA,MELODIES OF AFINARTE,"GONZALEZ LOPEZ, ANGEL ALBERTO",100.00%,,false,
891360549,TE PERTENEZCO,MELODIES OF AFINARTE,"SAUCEDA GASTELUM, ANGEL RENE",100.00%,,false,
886299258,TIGRE DE FIGURA,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
886299302,CAUSA Y EFECTO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
901463864,ME ESTOY ACOSTUMBRANDO,SONGS OF AFINARTE,"QUEZADA, IMANOL",100.00%,,false,
901733139,"VIDA, LA",SONGS OF AFINARTE,"CERVANTES, ALEXANDER",100.00%,,false,
897293370,"COMANCHE, EL",MELODIES OF AFINARTE,"ORDONEZ MONTENEGRO, JESUS ALBERT",100.00%,,false,
901660144,VOY A BRINDAR POR MI RAZA,SONGS OF AFINARTE,"AMARO, MANUEL MOLINA",100.00%,,false,
891304385,EL SONRIENTE DE DURANGO,SONGS OF AFINARTE,"QUEZADA MANCHA, IMANOL",100.00%,,false,
901659770,FALSOS AMIMGOS,SONGS OF AFINARTE,"RAMIREZ, MALDONADO JUAN",100.00%,,false,
884474097,MALENO HAROS,SONGS OF AFINARTE,KANALES,100.00%,,false,
901463826,"GAVILAN, EL",SONGS OF AFINARTE,"ANGULO PEREZ, JESUS OTONIEL",100.00%,,false,
897302656,"SOLDADO, EL",MELODIES OF AFINARTE,"ONTIVEROS GASTELUM, JOSE ANGEL",100.00%,,false,
897302431,NO ME VOLTEARON A MIRAR,MELODIES OF AFINARTE,"SAUCEDA GASTELUM, ANGEL RENE",100.00%,,false,
891416152,CON VERTE A TI,MUSIC OF AFINARTE,"SALAZAR ASTORGA, RUBEN/TARAZON, JESUS OMAR",100.00%,,false,
889748979,"ENVIDIOSO, EL",MELODIES OF AFINARTE,"QUEZADA MANCHA, ALFONSO DE JESUS",100.00%,,false,
901463868,MI VIDA,MELODIES OF AFINARTE,"AGUILERA, AMADOR/GONZALEZ, LIAN",100.00%,,false,
884725631,PINAS DE HAWAII,SONGS OF AFINARTE,KANALES,100.00%,,false,
897302673,"LAKO, EL",MELODIES OF AFINARTE,"ORDONEZ MONTENEGRO, JESUS ALBERT",100.00%,,false,
899644172,CONMEMORACIÓN ARTURO BELTRÁN,SONGS OF AFINARTE,"AVILES, ARTURO",100.00%,,false,
891367471,EL DE PLACERES DE ORO,MUSIC OF AFINARTE,"RAMIREZ, ROBERTO MIRANDA",100.00%,,false,
895179679,EL HUMILDE,MELODIES OF AFINARTE,"ZAPATA, ORLANDO",100.00%,,false,
876871863,EL ULTIMO NOVENARIO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
896935685,"TUYA LA MIA Y LA QUE ES, LA",MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
885299815,PA LOS MAL AGRADECIDOS,MELODIES OF AFINARTE,"DIAZ DE LEON HUEZ, OSCAR ARMANDO",100.00%,,false,
891304376,AY NOMAS,SONGS OF AFINARTE,"QUEZADA MANCHA, IMANOL",100.00%,,false,
891355070,EL CHAPO Y EL GUERO PALMA (FEAT. NACHO HERNANDEZ),SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
878294568,EL JLCC,MELODIES OF AFINARTE,"ONTIVEROS GASTELUM, JOSE ANGEL",100.00%,,false,
902211220,LIC PONCE,SONGS OF AFINARTE,"QUEZADA MANCHA, ALFONSO DE JESUS/QUEZADA, IMANOL",100.00%,,false,
890789552,VIDA VENTAJOSA,SONGS OF AFINARTE,"QUEZADA, IMANOL",100.00%,,false,
878230050,CORONAS DORADAS,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
891360850,ME ENGAÑASTE Y HOY TE VAS,MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
885384450,"COMPA FOO, EL",MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
891361029,LOS ENJAMBRES,MELODIES OF AFINARTE,"GARCIA, ALEXANDER/LIMON, PERLA ELENES",100.00%,,false,
886299255,QUE TE QUIERO,MELODIES OF AFINARTE,"ALVAREZ, ANTONIO",100.00%,,false,
895179621,SI LO MIRAN SOLO,MUSIC OF AFINARTE,"GURROLA, EDUARDO",100.00%,,false,
876872434,SE MARCARON BIEN MIS PASOS,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
899644173,HISTORIA GUZMÁN,SONGS OF AFINARTE,"AVILES, ARTURO",100.00%,,false,
901660146,LA VIDA DEL RANCHERO,SONGS OF AFINARTE,"AMARO, MANUEL MOLINA",100.00%,,false,
901463851,"MAYIZA, LA",MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
897293181,"GOMA Y LA CHIVA, LA",MELODIES OF AFINARTE,"LEON MEZA, SERGIO BLADIMIR",100.00%,,false,
891410453,PORQUE NO ME ESPERASTE?,MELODIES OF AFINARTE,"RIOS ECHEVERRIA, ADRIANA ISABEL",100.00%,,false,
897302434,SIGO CON LO MIO,MELODIES OF AFINARTE,"SAUCEDA GASTELUM, ANGEL RENE",100.00%,,false,
901463833,"POTRO DEL ALMA (HUAPANGO), EL",SONGS OF AFINARTE,"QUEZADA, IMANOL",100.00%,,false,
891416151,YO SIN TU AMOR,MUSIC OF AFINARTE,"SALAZAR ASTORGA, RUBEN",100.00%,,false,
891471250,POR UN BUEN FUTURO,MELODIES OF AFINARTE,"SAUCEDA, ANGEL",100.00%,,false,
891304375,DESDE HOY,MUSIC OF AFINARTE,"GURROLA MARTINES, EDUARDO",100.00%,,false,
901660131,LA FUGA DEL BANDA,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
886289789,"POSADA DEL AO, LA",MELODIES OF AFINARTE,"ALVAREZ, ANTONIO",100.00%,,false,
891355089,ULTIMA BATALLA DEL M1,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
901376213,ENTRE PINOS Y ENCINERAS,SONGS OF AFINARTE,"AMARO PEREZ, VICTOR EDUARDO/NUNEZ, GABRIEL",100.00%,,false,
878119184,LAS VERDADES,MELODIES OF AFINARTE,"DIAZ DE LEON HUEZ, OSCAR ARMANDO/GONZALEZ, JAVIER/MUNOZ LOZA, RICARDO MICHEL",100.00%,,false,
909556263,"TORTU, LA",SONGS OF AFINARTE,"QUEZADA MANCHA, ALFONSO DE JESUS",100.00%,,false,
901463824,"CP3, EL",MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
901349773,LA VIDA DE RANCHO,MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
895179712,POR MI MALDAD,SONGS OF AFINARTE,"GARCIA, RODOLFO",100.00%,,false,
901463846,HUARACHES DE ARANA,MELODIES OF AFINARTE,"BUSTOS HURTADO, ALEMI",100.00%,,false,
891355075,EN REVOLUCIONES,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
886289787,CRUZ POR HERENCIA,MELODIES OF AFINARTE,"ALVAREZ, ANTONIO",100.00%,,false,
887113010,LA CARGA,MELODIES OF AFINARTE,"LIMON, ELENES",100.00%,,false,
899644167,DE JALISCO A GUANAJUATO,MELODIES OF AFINARTE,"ZAPATA, ORLANDO",100.00%,,false,
897293170,CORRIDO DE ANTONIO LEON,MELODIES OF AFINARTE,"LEON MEZA, SERGIO BLADIMIR",100.00%,,false,
901660087,ESTA NOCHE VENGO A VERTE,MELODIES OF AFINARTE,"SANCHEZ MEDRANO, JOSE GUADALUPE",100.00%,,false,
902211219,"ORGANIZACION, LA",SONGS OF AFINARTE,"QUEZADA, IMANOL",100.00%,,false,
901733140,RULETEANDO LA BAHIA,SONGS OF AFINARTE,"CERVANTES, ALEXANDER",100.00%,,false,
905380551,SE HA DE VER,SONGS OF AFINARTE,"REYES, FERNANDO VALENZUELA",100.00%,,false,
901463873,PEPON,MELODIES OF AFINARTE,"QUEZADA MANCHA, ALFONSO DE JESUS",100.00%,,false,
891471243,ME HUNDES ME ACABAS,MELODIES OF AFINARTE,"LOPEZ, LLANES CRISTIANO",100.00%,,false,
901733055,YO SOY EL RUSO,MELODIES OF AFINARTE,"SANCHEZ MEDRANO, JOSE GUADALUPE",100.00%,,false,
901463802,ACLARANDO AMANECE,MELODIES OF AFINARTE,"FAVELA, JOSE ALBERTO INZUNZA",100.00%,,false,
876864687,FIEL COMPANERO,MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
901733274,"DIABLO JR, EL",MELODIES OF AFINARTE,"FELIX, LUIS ENRIQUE",100.00%,,false,
901733168,"HAKAY, EL",MELODIES OF AFINARTE,"SAUCEDA GASTELUM, ANGEL RENE",100.00%,,false,
901390029,YO SOY LA PUERCA O EL ANIMAL,SONGS OF AFINARTE,"COBIAN CARO, RAFAEL",100.00%,,false,
895179633,SIN RASPAR MUEBLES,SONGS OF AFINARTE,"ANGULO PEREZ, JESUS OTONIEL",100.00%,,false,
886299317,TRES REYES,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
899598708,EL LV,MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
884473869,HARINA Y COCAINA,SONGS OF AFINARTE,KANALES,100.00%,,false,
879596849,"PARIENTE, EL",MELODIES OF AFINARTE,"RODRIGUEZ MONDRAGON, ANGEL ALEXIS",100.00%,,false,
891361544,SOY EL CALENTANO,MELODIES OF AFINARTE,"SANCHEZ MEDRANO, JOSE GUADALUPE",100.00%,,false,
899598709,JUNTOS LOS DOS,MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
886290152,"SERIO, EL",MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
886299312,HOMBRE DE 14 ANOS,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
901660139,TRAIGO GANAS DE EMPEDARME,SONGS OF AFINARTE,"RAMIREZ, MALDONADO JUAN",100.00%,,false,
885384444,CON LAS DUDAS ENCIMA,MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
891355073,ELEMENTO PRIMARIO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
891360852,MI ULTIMA CARAVANA,MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
891303134,ENGAÑO A LOS DOS,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
891303135,FUE MI ANHELO,MELODIES OF AFINARTE,"GUZMAN SANCHEZ, JUAN LUIS",100.00%,,false,
891411127,LA RAPTOR,MELODIES OF AFINARTE,"FELIX, LUIS ENRIQUE",100.00%,,false,
886299310,"R DE LA PERLA, EL",SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
891418055,VICENTE RAMIREZ,SONGS OF AFINARTE,"COTA, RAMIREZ JESUS LENIN",100.00%,,false,
899644147,LA CUMBIA DEL GUILLO,MELODIES OF AFINARTE,"FELIX, LUIS ENRIQUE",100.00%,,false,
891304390,TRISTES NAVIDADES,SONGS OF AFINARTE,"QUEZADA MANCHA, ALFONSO DE JESUS/QUEZADA MANCHA, IMANOL",100.00%,,false,
901463804,AY AMOR,MELODIES OF AFINARTE,"QUEZADA MANCHA, ALFONSO DE JESUS",100.00%,,false,
901733046,MI EQUIPO SON 4 LETRAS,MELODIES OF AFINARTE,"SANCHEZ MEDRANO, JOSE GUADALUPE",100.00%,,false,
901463821,"CHACO DE CALIFORNIA, EL",MELODIES OF AFINARTE,"DIAZ, BORJA GERARDO",100.00%,,false,
884473985,LA MACA,SONGS OF AFINARTE,KANALES,100.00%,,false,
891482261,ALAS DE PAPEL,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
891414867,EL ALAMO,SONGS OF AFINARTE,"QUINONES GASTELUM, GREGORIO",100.00%,,false,
885343783,SERENATO EN MAYO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
901463848,"CULPA ES MIA, LA",SONGS OF AFINARTE,"QUEZADA, IMANOL",100.00%,,false,
891355069,DUENA DE NEGRO,SONGS OF AFINARTE,"HAROS, PEDRO",100.00%,,false,
891410454,SE ACABO,MELODIES OF AFINARTE,"RIOS ECHEVERRIA, ADRIANA ISABEL",100.00%,,false,
901659776,A PUNTO DE LLORAR,SONGS OF AFINARTE,"RAMIREZ, MALDONADO JUAN",100.00%,,false,
901660049,DE LA COMARCA VENGO,SONGS OF AFINARTE,"QUEZADA MANCHA, IMANOL",100.00%,,false,
876645502,VICENTE LIMóN,MELODIES OF AFINARTE,"GARCIA, ALEXANDER",100.00%,,false,
905380353,EL MENSO,SONGS OF AFINARTE,"QUEZADA, ALFONSO DE JESUS JR",100.00%,,false,
901390332,YA AGARRÉ VUELO,SONGS OF AFINARTE,"AMARO PEREZ, VICTOR EDUARDO/NUNEZ, GABRIEL",100.00%,,false,
