"Artist","Track Title","ISRC","SXID","Effective %","Hold","Registrant","Payee ID#","Association Type"
"Los Dos Carnales","Andale Terca","DGA062450509","SX215HV5IC","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","El Corrido De Lobito","DGA082476033","SX215HV5IE","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","Un Paro De Compas","DGA082476027","SX215HV5IG","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","El Exclusivo","DGA082439300","SX215HV5IH","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","Te Bote","DGA082476029","SX215HV5IJ","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","Sos","DGA062446208","SX215HV5IL","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos Carnales","Corte De Caja","DGA062489409","SX215HV5IM","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Alemi Bustos","La Raza De Michoacan","DGA0P2495398","SX215HV5IO","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Clave H3","Bellakita","DGA0P2495392","SX215HV5IQ","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"La Cuadrilla","Al Estilo Del Patron","DGA0P2495909","SX215HV5IT","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Mismos De La M","Pa Que Sepan","DGA0L2421591","SX215HV5IX","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"El Fantasma","Se Me Esta Haciendo Costumbre","DGA0P2476142","SX215HV5J0","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Hijos De Manuel","El Rayo De Sinaloa","DGA0P2495387","SX215HV5J2","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Alemi Bustos","Traficantes De Michoacan","DGA0P2448796","SX215HV5J4","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Alemi Bustos","El Mango","DGA0P2448798","SX215HV5JB","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Los Dos De Tamaulipas","Con Toda La Fe","DGA0P2448849","SX215HV5JE","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Latigo Norteño","Lo Bonito De Mi Corazon","DGA0P2448854","SX215HV5JL","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Latigo Norteño","Mi Estabilidad Emocional","DGA0P2448852","SX215HV5JP","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"Adriana Rios","No Fuimos","DGA0L2472730","SX215HV5JU","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"El Fantasma","Toque De Queda (Isidro Flores)","DGA0P2433563","SX215HV5K7","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"El Fantasma","Comandante X","DGA0P2433556","SX215HV5KB","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"El Fantasma","El 40 (Durango)","DGA0P2433554","SX215HV5KD","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"El Fantasma","Aca Por Tijuana","DGA0P2433553","SX215HV5KE","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
"El Fantasma","El 40","DGA0P2433564","SX215HV5KF","100.0","No","AFINARTEMUSIC LLC","2177411815","Rights Owner"
