MLC Song Code,Primary Title,ISWC,Member Song IDs,Artists,Party Id,Party Name,Party IPI,Party Role,Collectible Share,Chain of Title Id,Chain of Title Parent Id
RB3UIL,RECORDANDO A BARRERA,,,Canelos Jrs | CANELOS JRS,P117Z9,MELODIES OF RIGOLETTO MUSIC PUBLISHING,01036461187,Administrator,100.000,3,1
EB240I,EL LEON DE LA CIENEGA,,,CANELOS JRS,11637678,"MEZA, SERGIO BLADIMIR",,Composer/Author,,2,
EB240I,EL LEON DE LA CIENEGA,,,CANELOS JRS,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
EB240I,EL LEON DE LA CIENEGA,,,CANELOS JRS,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EB25AY,EL DE CALEXICO,,,CANELOS JRS,11637678,"MEZA, SERGIO BLADIMIR",,Composer/Author,,2,
EB25AY,EL DE CALEXICO,,,CANELOS JRS,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
EB25AY,EL DE CALEXICO,,,CANELOS JRS,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
HA62DM,HOME RUN,,,LOS DOS CARNALES,12763449,"MANCHA, ALFONSO DE JESUS QUESADA",01028609564,Composer/Author,,2,
HA62DM,HOME RUN,,,LOS DOS CARNALES,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
HA62DM,HOME RUN,,,LOS DOS CARNALES,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
TD5ID0,TANTO TIENES TANTO VALES,,,ANGEL YADIER,13083823,"LOPEZ, ANGEL ALBERTO",,Composer/Author,,2,
TD5ID0,TANTO TIENES TANTO VALES,,,ANGEL YADIER,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
TD5ID0,TANTO TIENES TANTO VALES,,,ANGEL YADIER,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
LB1BI4,LA CUMBIA DEL TINIO,,,CANELOS JRS,11637678,"MEZA, SERGIO BLADIMIR",,Composer/Author,,2,
LB1BI4,LA CUMBIA DEL TINIO,,,CANELOS JRS,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
LB1BI4,LA CUMBIA DEL TINIO,,,CANELOS JRS,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EB24ZS,EL PAYE,,,CANELOS JRS,11193287,"GASTELUM, JOSE ANGEL",,Composer/Author,,2,
EB24ZS,EL PAYE,,,CANELOS JRS,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
