MLC Song Code,Primary Title,ISWC,Member Song IDs,Artists,Party Id,Party Name,Party IPI,Party Role,Collectible Share,Chain of Title Id,Chain of Title Parent Id
DA5TEA,DE LOS FUENTES SOY SAMUEL,,,LATINO NORTENO,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
TE5OP9,TU DERROTA,,,EL FANTASMA,13148387,"GARCIA, ALEXANDER",00770930824,Composer/Author,,2,
TE5OP9,TU DERROTA,,,EL FANTASMA,11959904,"LIMON ELENES, PERLA",00887714384,Composer/Author,,3,
TE5OP9,TU DERROTA,,,EL FANTASMA,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2|3
TE5OP9,TU DERROTA,,,EL FANTASMA,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,4,1
EA1U09,EL DE LAS CANAS DURANGO,,,LATINO NORTENO,9426539,"ANGULO PEREZ, JESUS OTONIEL",00611905473,Composer/Author,,2,
EA1U09,EL DE LAS CANAS DURANGO,,,LATINO NORTENO,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
EA1U09,EL DE LAS CANAS DURANGO,,,LATINO NORTENO,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
LB0DC7,LA PELONA,,,LOS DOS DE TAMAULIPAS,13650464,"ZAPATA, ORLANDO",01051026907,Composer/Author,,2,
LB0DC7,LA PELONA,,,LOS DOS DE TAMAULIPAS,13650134,"ZAPATA, ROLANDO",01051027316,Composer/Author,,3,
LB0DC7,LA PELONA,,,LOS DOS DE TAMAULIPAS,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2|3
LB0DC7,LA PELONA,,,LOS DOS DE TAMAULIPAS,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,4,1
EA19Q9,EL CHINO DE CAMARGO,,,LOS DOS DE TAMAULIPAS | LOS DOS DE TAMAULIPAS|ROLANDO ZAPATA|ORLANDO ZAPATA|ROLANDO,13650464,"ZAPATA, ORLANDO",01051026907,Composer/Author,,2,
EA19Q9,EL CHINO DE CAMARGO,,,LOS DOS DE TAMAULIPAS | LOS DOS DE TAMAULIPAS|ROLANDO ZAPATA|ORLANDO ZAPATA|ROLANDO,13650134,"ZAPATA, ROLANDO",01051027316,Composer/Author,,3,
EA19Q9,EL CHINO DE CAMARGO,,,LOS DOS DE TAMAULIPAS | LOS DOS DE TAMAULIPAS|ROLANDO ZAPATA|ORLANDO ZAPATA|ROLANDO,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2|3
EA19Q9,EL CHINO DE CAMARGO,,,LOS DOS DE TAMAULIPAS | LOS DOS DE TAMAULIPAS|ROLANDO ZAPATA|ORLANDO ZAPATA|ROLANDO,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,4,1
EA1950,EL PATOTAS,,,LOS DOS DE TAMAULIPAS,13650464,"ZAPATA, ORLANDO",01051026907,Composer/Author,,2,
EA1950,EL PATOTAS,,,LOS DOS DE TAMAULIPAS,13650134,"ZAPATA, ROLANDO",01051027316,Composer/Author,,3,
EA1950,EL PATOTAS,,,LOS DOS DE TAMAULIPAS,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2|3
EA1950,EL PATOTAS,,,LOS DOS DE TAMAULIPAS,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,4,1
HB7V46,HASTA TENERTE CONMIGO,,,LOS HIJOS DE MANUEL,13830206,"PEREZ, VICTOR EDUARDO",,Composer/Author,,2,
HB7V46,HASTA TENERTE CONMIGO,,,LOS HIJOS DE MANUEL,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
HB7V46,HASTA TENERTE CONMIGO,,,LOS HIJOS DE MANUEL,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EA4BS2,EL CESAR,,,Impostores De Nuevo Leon,11899897,"GUZMAN SANCHEZ, JUAN LUIS",00831561647,Composer/Author,,2,
EA4BS2,EL CESAR,,,Impostores De Nuevo Leon,PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,2
EA4BS2,EL CESAR,,,Impostores De Nuevo Leon,P117Z9,MELODIES OF RIGOLETTO MUSIC PUBLISHING,01036461187,Administrator,100.000,3,1
PF4XKE,PAL QUE QUIERA INVESTIGAR,,,NICOLAS GARCIA,13623625,"JR, NICOLAS",,Composer/Author,,2,
PF4XKE,PAL QUE QUIERA INVESTIGAR,,,NICOLAS GARCIA,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
PF4XKE,PAL QUE QUIERA INVESTIGAR,,,NICOLAS GARCIA,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EA3S72,EL RENGLÓN,,,DECISION EFECTIVA,14412534,"CARO, RAFAEL",,Composer/Author,,2,
EA3S72,EL RENGLÓN,,,DECISION EFECTIVA,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
EA3S72,EL RENGLÓN,,,DECISION EFECTIVA,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EA3S73,EL VALOR DE UN VARÓN,,,"EL FANTASMA, LOS DOS CARNALES | EL FANTASMA,LOS DOS CARNALES",14412537,"LIMON, PERLA",,Composer/Author,,3,
EA3S73,EL VALOR DE UN VARÓN,,,"EL FANTASMA, LOS DOS CARNALES | EL FANTASMA,LOS DOS CARNALES",PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,
EA3S73,EL VALOR DE UN VARÓN,,,"EL FANTASMA, LOS DOS CARNALES | EL FANTASMA,LOS DOS CARNALES",P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,2,1
KE78DD,KIKIL CARO,,,DECISION EFECTIVA,14412534,"CARO, RAFAEL",,Composer/Author,,2,
KE78DD,KIKIL CARO,,,DECISION EFECTIVA,P003TP,SONGS OF AFINARTE,00817874992,Original Publisher,0.000,1,2
KE78DD,KIKIL CARO,,,DECISION EFECTIVA,P077LY,RIGOLETTO MUSIC PUBLISHING,,Administrator,100.000,3,1
EA3S8A,EL LV,,,"LOS DOS DE TAMAULIPAS | GERARDO DAZ Y SU GERARQUA, LOS DOS DE TAMAULIPAS | GERARDO DÃ?AZ Y SU GERARQUIA",11422900,"DIAZ BORJA, GERARDO",00845394311,Composer/Author,,3,
EA3S8A,EL LV,,,"LOS DOS DE TAMAULIPAS | GERARDO DAZ Y SU GERARQUA, LOS DOS DE TAMAULIPAS | GERARDO DÃ?AZ Y SU GERARQUIA",PA39UA,MELODIES OF AFINARTE,00807953316,Original Publisher,0.000,1,
EA3S8A,EL LV,,,"LOS DOS DE TAMAULIPAS | GERARDO DAZ Y SU GERARQUA, LOS DOS DE TAMAULIPAS | GERARDO DÃ?AZ Y SU GERARQUIA",P117Z9,MELODIES OF RIGOLETTO MUSIC PUBLISHING,01036461187,Administrator,100.000,2,1
DA9CGU,DOBLE R,,,"EL FANTASMA, LOS DOS CARNALES",13623926,"MANCHA, ALFONSO DE JESUS",,Composer/Author,,2,
